config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,all_truth_case_count,unique_all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
median_top20_distinct20_single667,median,20,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,0.0895613431930542
median_top40_distinct20_single667,median,40,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,0.08964850505193074
median_top80_distinct20_single667,median,80,distinct20,single667,12,6,6,9,12,7,9,12,7,2.3333333333333335,0.0895286997159322
none_top40_dense4_single667,none,40,dense4,single667,12,5,6,5,12,9,6,12,10,2.3333333333333335,0.11639080444971721
mean_top40_dense4_single667,mean,40,dense4,single667,12,6,6,6,12,7,6,12,7,2.0833333333333335,0.11819990475972493
mean_top20_distinct20_single667,mean,20,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,0.08945337931315105
mean_top40_distinct20_single667,mean,40,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,0.09005749225616455
mean_top80_distinct20_single667,mean,80,distinct20,single667,12,3,5,7,12,7,8,12,8,2.3333333333333335,0.08960161606470744
mean_top20_moderate12_single667,mean,20,moderate12,single667,12,4,5,6,12,8,6,12,9,2.25,0.09098651011784871
median_top40_dense4_single667,median,40,dense4,single667,12,3,5,5,12,7,6,12,9,2.25,0.11836584409077962
median_top80_dense4_wide,median,80,dense4,wide,12,4,4,4,12,12,4,12,12,2.3333333333333335,1.2478432059288025
none_top20_moderate12_single667,none,20,moderate12,single667,12,4,4,6,12,9,6,12,9,2.25,0.08971478541692098
mean_top80_dense4_wide,mean,80,dense4,wide,12,4,4,4,12,10,4,12,10,2.1666666666666665,1.2611193259557087
median_top40_dense4_baseline,median,40,dense4,baseline,12,3,3,3,12,9,3,12,9,2.0,0.7002585530281067
none_top80_dense4_wide,none,80,dense4,wide,12,3,3,3,12,9,3,12,9,2.0,1.2465694944063823
mean_top40_dense4_baseline,mean,40,dense4,baseline,12,3,3,3,12,6,3,12,6,1.75,0.7043055295944214
none_top40_dense4_baseline,none,40,dense4,baseline,12,1,1,1,12,9,1,12,9,1.8333333333333333,0.6900079051653544
mean_top20_dense4_baseline,mean,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,0.6746309598286947
mean_top20_dense4_wide,mean,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.0828367273012798
mean_top40_dense4_wide,mean,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.1027342677116394
median_top20_dense4_baseline,median,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,0.6823798020680746
median_top20_dense4_wide,median,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.092828631401062
median_top40_dense4_wide,median,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.1029964486757915
none_top20_dense4_baseline,none,20,dense4,baseline,12,0,0,0,12,6,0,12,6,1.5,0.6810535192489624
none_top20_dense4_wide,none,20,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.077407439549764
none_top40_dense4_wide,none,40,dense4,wide,12,0,0,0,12,6,0,12,6,1.5,1.0818446675936382
none_top20_dense4_single667,none,20,dense4,single667,12,0,0,0,12,3,0,12,4,1.3333333333333333,0.1012277603149414
mean_top20_dense4_single667,mean,20,dense4,single667,12,0,0,0,11,4,0,11,4,1.25,0.09775344530741374
median_top20_dense4_single667,median,20,dense4,single667,12,0,0,0,9,3,0,10,3,1.0833333333333333,0.0994733174641927
