experiment_id	path	size_bytes	file_count	has_run_manifest	data_file_count	figure_file_count	figure_notes_count	latest_mtime_utc
1056	outputs/experiments/1056_coordinate_optimizer_variable_depth_radius_seed267914296_target1_sources5_txrx60_ringdown050_objectives	2337579	16	True	9	5	1	2026-06-11T00:27:30.969476+00:00
1057	outputs/experiments/1057_coordinate_optimizer_variable_depth_radius_seed267914296_target1_sources5_txrx52p5_ringdown050_objectives	2279157	16	True	9	5	1	2026-06-11T00:27:27.175365+00:00
1058	outputs/experiments/1058_coordinate_optimizer_variable_depth_radius_seed267914296_target1_sources9_txrx52p5_ringdown050_objectives	2278082	16	True	9	5	1	2026-06-11T00:27:23.370693+00:00
1059	outputs/experiments/1059_coordinate_optimizer_variable_depth_radius_seed433494437_target0_sources8_txrx60_ringdown050_objectives	2244289	16	True	9	5	1	2026-06-11T00:27:19.541398+00:00
105	outputs/experiments/105_coordinate_optimizer_diagnostic_objective_cpu_smoke	370297	10	True	6	3	1	2026-06-10T23:54:17.186079+00:00
1060	outputs/experiments/1060_coordinate_optimizer_variable_depth_radius_seed433494437_target2_sources5_txrx60_ringdown050_objectives	2241662	16	True	9	5	1	2026-06-11T00:27:15.727606+00:00
1061	outputs/experiments/1061_coordinate_optimizer_variable_depth_radius_seed433494437_target1_sources5_txrx60_ringdown050_objectives	2311684	16	True	9	5	1	2026-06-11T00:27:11.912206+00:00
1062	outputs/experiments/1062_coordinate_optimizer_variable_depth_radius_seed433494437_target1_sources5_txrx52p5_ringdown050_objectives	2206009	16	True	9	5	1	2026-06-11T00:27:08.140871+00:00
1063	outputs/experiments/1063_coordinate_optimizer_variable_depth_radius_seed701408733_target0_sources8_txrx60_ringdown050_objectives	2211110	16	True	9	5	1	2026-06-11T00:27:04.306079+00:00
1064	outputs/experiments/1064_coordinate_optimizer_variable_depth_radius_seed701408733_target0_sources8_txrx52p5_ringdown050_objectives	2165200	16	True	9	5	1	2026-06-11T00:27:00.495555+00:00
1065	outputs/experiments/1065_coordinate_optimizer_variable_depth_radius_seed701408733_target2_sources5_txrx60_ringdown050_objectives	2251147	16	True	9	5	1	2026-06-11T00:26:56.669800+00:00
1066	outputs/experiments/1066_coordinate_optimizer_variable_depth_radius_seed701408733_target1_sources5_txrx60_ringdown050_objectives	2308970	16	True	9	5	1	2026-06-11T00:26:52.879618+00:00
1067	outputs/experiments/1067_coordinate_optimizer_variable_depth_radius_seed1134903170_target0_sources8_txrx60_ringdown050_objectives	2178787	16	True	9	5	1	2026-06-11T00:26:49.098222+00:00
1068	outputs/experiments/1068_coordinate_optimizer_variable_depth_radius_seed1134903170_target2_sources5_txrx60_ringdown050_objectives	2275537	16	True	9	5	1	2026-06-11T00:26:45.261331+00:00
1069	outputs/experiments/1069_coordinate_optimizer_variable_depth_radius_seed1134903170_target1_sources5_txrx60_ringdown050_objectives	2317183	16	True	9	5	1	2026-06-11T00:26:41.464073+00:00
106	outputs/experiments/106_coordinate_optimizer_seed_offset2mm_guarded_diag_seed55	1213241	13	True	9	3	1	2026-06-10T23:54:14.692198+00:00
