run_number,run_dir,status,reason,inventory_path,figure_notes_path,animation_count,total_frames,animations
1095,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1094,outputs/experiments/1094_coordinate_optimizer_variable_depth_radius_seed20365011074_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1093,outputs/experiments/1093_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources11_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1092,outputs/experiments/1092_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1091,outputs/experiments/1091_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1090,outputs/experiments/1090_coordinate_optimizer_variable_depth_radius_seed20365011074_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1089,outputs/experiments/1089_coordinate_optimizer_variable_depth_radius_seed20365011074_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1088,outputs/experiments/1088_coordinate_optimizer_variable_depth_radius_seed12586269025_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1087,outputs/experiments/1087_coordinate_optimizer_variable_depth_radius_seed12586269025_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1086,outputs/experiments/1086_coordinate_optimizer_variable_depth_radius_seed12586269025_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1085,outputs/experiments/1085_coordinate_optimizer_variable_depth_radius_seed7778742049_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1084,outputs/experiments/1084_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1083,outputs/experiments/1083_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources7_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1082,outputs/experiments/1082_coordinate_optimizer_variable_depth_radius_seed7778742049_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1081,outputs/experiments/1081_coordinate_optimizer_variable_depth_radius_seed7778742049_target0_sources9_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1080,outputs/experiments/1080_coordinate_optimizer_variable_depth_radius_seed7778742049_target0_sources8_txrx52p5_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1079,outputs/experiments/1079_coordinate_optimizer_variable_depth_radius_seed7778742049_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1078,outputs/experiments/1078_coordinate_optimizer_variable_depth_radius_seed4807526976_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1077,outputs/experiments/1077_coordinate_optimizer_variable_depth_radius_seed4807526976_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1076,outputs/experiments/1076_coordinate_optimizer_variable_depth_radius_seed4807526976_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1075,outputs/experiments/1075_coordinate_optimizer_variable_depth_radius_seed2971215073_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1074,outputs/experiments/1074_coordinate_optimizer_variable_depth_radius_seed2971215073_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1073,outputs/experiments/1073_coordinate_optimizer_variable_depth_radius_seed2971215073_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1072,outputs/experiments/1072_coordinate_optimizer_variable_depth_radius_seed1836311903_target1_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1071,outputs/experiments/1071_coordinate_optimizer_variable_depth_radius_seed1836311903_target2_sources5_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
1070,outputs/experiments/1070_coordinate_optimizer_variable_depth_radius_seed1836311903_target0_sources8_txrx60_ringdown050_objectives,skipped,no existing true wavefield GIF,,,0,0,
