run_number,run_dir,summary_path,status,reason,animation_path,context_summary_path,figure_notes_path,width_px,height_px,frame_count,unique_colors_midframe,nonwhite_fraction_midframe
1104,outputs/experiments/1104_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources11_txrx60_ringdown050_objectives,outputs/experiments/1104_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources11_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1104_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources11_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1104_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources11_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1104_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources11_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6828422477036246
1103,outputs/experiments/1103_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources9_txrx60_ringdown050_objectives,outputs/experiments/1103_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1103_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources9_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1103_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources9_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1103_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6808182398053788
1102,outputs/experiments/1102_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources7_txrx60_ringdown050_objectives,outputs/experiments/1102_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources7_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1102_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources7_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1102_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources7_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1102_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources7_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6815203793531416
1101,outputs/experiments/1101_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1101_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1101_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1101_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1101_coordinate_optimizer_variable_depth_radius_seed53316291173_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,254,0.682848840563228
1100,outputs/experiments/1100_coordinate_optimizer_variable_depth_radius_seed53316291173_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1100_coordinate_optimizer_variable_depth_radius_seed53316291173_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1100_coordinate_optimizer_variable_depth_radius_seed53316291173_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1100_coordinate_optimizer_variable_depth_radius_seed53316291173_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1100_coordinate_optimizer_variable_depth_radius_seed53316291173_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6818368366141051
1099,outputs/experiments/1099_coordinate_optimizer_variable_depth_radius_seed32951280099_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1099_coordinate_optimizer_variable_depth_radius_seed32951280099_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1099_coordinate_optimizer_variable_depth_radius_seed32951280099_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1099_coordinate_optimizer_variable_depth_radius_seed32951280099_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1099_coordinate_optimizer_variable_depth_radius_seed32951280099_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6808545005331975
1098,outputs/experiments/1098_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources9_txrx60_ringdown050_objectives,outputs/experiments/1098_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1098_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources9_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1098_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources9_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1098_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6810028398742741
1097,outputs/experiments/1097_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources7_txrx60_ringdown050_objectives,outputs/experiments/1097_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources7_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1097_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources7_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1097_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources7_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1097_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources7_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.681704979422037
1096,outputs/experiments/1096_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1096_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1096_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1096_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1096_coordinate_optimizer_variable_depth_radius_seed32951280099_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6830334406321233
1095,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1095_coordinate_optimizer_variable_depth_radius_seed32951280099_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6820230848979013
